T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
291.347,371.514,589.019,373.379,386.749,271.425,229.474,237.929,240.958,224.122,265.107,264.151,247.322,351.799,462.202,591.115,357.48,330.644
275.187,352.128,569.675,366.514,363.146,264.988,223.763,237.593,235.279,222.83,263.707,266.34,243.471,334.512,444.66,553.607,349.064,306.595
252.42,318.884,561.837,375.413,360.935,267.836,231.86,235.22,237.064,221.574,259.365,264.546,241.302,338.17,454.828,539.78,322.37,244.571
235.275,299.285,539.245,423.427,456.901,283.657,224.264,238.488,235.963,217.83,261.006,270.796,251.218,427.923,548.205,479.769,284.092,234.365
227.266,294.921,512.126,433.997,503.918,309.987,235.7,238.13,237.599,220.314,261.043,273.272,260.824,453.333,546.505,447.338,269.084,229.221
225.526,272.653,468.543,429.52,525.068,313.595,232.026,237.551,230.824,220.904,262.123,266.744,259.714,478.133,540.628,420.239,247.991,217.245
220.7,252.809,415.895,418.781,531.788,323.572,231.76,237.864,234.581,220.348,254.346,270.861,269.673,502.633,546.37,377.176,232.74,204.212
215.97,243.441,370.413,394.776,543.294,332.016,243.496,237.3,233.118,221.835,256.102,276.062,280.394,528.988,514.093,331.522,220.803,208.316
209.979,231.189,338.388,365.86,537.584,330.187,246.58,236.876,231.097,224.476,257.092,278.84,299.998,544.003,494.933,309.514,210.685,203.933
206.828,227.322,315.72,348.987,562.82,368.24,254.811,238.555,236.359,227.285,253.404,289.546,336.491,552.562,449.112,280.887,201.382,202.65
205.446,222.717,292.508,320.087,525.985,379.848,259.654,233.946,230.325,223.654,241.564,290.185,354.412,495.546,381.626,269.096,203.419,200.88
202.232,218.519,289.604,311.226,565.613,458.323,278.953,240.664,235.705,231.098,256.385,319.355,436.968,536.018,370.312,268.819,196.428,201.463
204.894,215.465,281.058,297.974,540.646,493.092,289.97,240.062,235.092,232.644,256.564,328.321,486.709,504.015,336.091,266.783,194.616,202.153
202.785,215.557,273.988,274.46,488.622,518.751,303.159,235.204,231.973,232.247,252.816,341.821,502.207,444.506,294.098,247.621,194.156,199.469
200.707,206.446,267.208,273.092,496.819,586.718,344.013,246.027,237.196,230.936,258.246,394.386,572.182,455.349,298.491,248.346,195.225,198.518
196.914,206.251,266.489,260.987,452.871,626.003,391.637,248.107,231.727,225.492,268.393,462.858,598.327,417.728,277.584,248.209,187.046,192.592
196.317,201.879,259.071,248.788,399.806,646.278,467.551,256.779,238.292,227.34,276.582,522.105,608.311,373.019,259.605,237.854,189.168,193.727
198.013,202.105,254.886,245.906,366.896,677.469,546.969,264.505,241.872,222.939,297.898,601.031,626.86,354.688,246.842,238.475,192.968,196.095
191.882,202.744,257.179,241.49,348.069,674.843,586.009,276.983,239.519,223.824,313.668,652.781,602.061,318.775,244.684,245.363,187.942,193.429
194.697,197.265,253.254,236.694,314.419,660.828,611.383,284.567,237.752,222.473,320.725,669.756,575.054,299.583,245.516,237.066,184.355,194.215
192.137,197.781,250.137,233.484,300.28,638.853,639.606,291.887,243.435,220.636,328.182,673.139,548.367,275.988,239.321,239.066,188.529,191.172
191.131,196.355,249.417,230.002,280.79,622.317,662.324,307.71,248.254,220.056,346.541,712.244,518.802,271,234.274,233.714,188.786,191.598
189.447,196.651,251.249,227.778,275.754,596.112,678.914,330.023,249.281,218.795,358.654,722.38,481.471,263.617,230.393,240.692,189.344,194.175
192.268,193.488,244.294,222.366,263.253,547.763,683.493,357.175,255.145,220.896,386.096,736.401,436.68,256.253,227.016,231.288,187.078,189.92
189.681,195.472,245.29,216.758,250.906,446.093,623.206,415.821,289.461,235.537,415.268,658.176,356.556,243.318,222.942,234.451,188.09,193.457
191.82,194.495,241.306,217.933,244.241,389.765,523.913,512.07,347.72,244.907,461.828,534.954,311.455,238.682,220.844,233.701,183.436,191.816
188.081,191.55,241.334,215.387,233.653,345.274,439.146,589.35,429.285,274.016,523.354,454.954,281.153,232.231,221.705,227.637,187.214,191.528
192.516,191.668,240.126,214.644,234.179,320.53,386.991,595.063,515.804,306.997,526.859,388.812,262.245,226.16,220.116,231.288,184.121,193.104
186.775,188.398,239.799,212.262,233.887,301.394,337.433,549.482,580.693,340.287,487.133,351.759,247.64,223.102,220.977,226.481,182.246,188.491
191.437,191.914,239.587,211.272,231.423,291.339,312.557,482.989,637.729,387.053,437.92,329.167,235.892,222.562,218.865,228.791,183.003,190.822
187.638,188.073,236.568,209.003,231.471,284.943,289.257,415.66,643.865,395.125,389.418,312.244,234.993,216.438,221.347,226.882,182.815,189.16
190.364,192.092,234.133,208.626,227.599,274.241,281.219,371.03,641.13,394.428,351.096,301.528,230.007,214.21,215.588,235.481,186.702,195.837
186.818,189.394,231.941,209.059,227.744,271.27,273.196,332.6,601.912,396.503,322.516,294.08,222.297,212.077,213.819,223.673,183.65,190.822
195.004,191.231,233.338,208.082,229.742,267.296,264.816,303.768,548.17,372.136,301.754,293.031,225.538,219.599,215.549,233.56,184.321,194.696
197.819,191.482,232.817,208.089,225.221,264.588,261.114,285.019,481.094,347.492,291.068,283.293,222.322,215.895,210.66,235.907,181.393,188.543
205.437,196.942,245.219,209.237,228.103,261.759,260.38,269.379,428.607,329.556,273.172,287.491,224.626,210.861,220.274,242.629,187.37,195.706
210.697,200.214,253.335,212.198,229.727,259.091,256.966,263.236,382.38,302.146,273.465,281.725,216.514,214.917,218.188,255.146,194.416,201.997
219.933,215.85,268.746,217.13,230.758,261.726,270.174,258.474,347.82,280.231,277.197,296.114,224.57,211.994,229.698,272.357,194.702,205.503
228.84,222.612,292.55,224.854,240.834,263.694,266.74,252.792,323.989,276.165,256.232,298.873,219.027,209.92,234.237,280.464,198.801,215.509
233.544,235.662,320.533,232.234,247.823,265.071,267.811,252.267,304.401,274.247,260.672,305.028,217.268,216.364,249.688,308.412,203.327,216.187
239.132,243.675,329.743,234.07,254.596,266.659,264.446,249.945,287.557,252.941,258.014,299.596,222.874,212.543,254.551,323.338,212.243,231.156
242.959,251.956,340.164,235.873,246.189,264.792,263.219,244.825,275.367,246.638,258.559,298.231,220.991,214.522,251.87,322.181,221.269,238.893
248.623,252.985,344.439,231.663,239.932,257.07,253.06,245.301,273.413,245.444,254.855,286.463,217.682,213.105,238.735,318.602,213.908,241.34
253.298,249.695,332.364,227.463,238.362,252.321,253.844,242.956,264.886,239.644,253.125,274.497,215.241,212.63,238.751,312.849,213.223,237.046
254.704,252.05,331.852,226.805,233.149,251.802,250.791,245.556,260.025,236.343,255.498,282.759,213.176,203.948,232.842,313.681,215.685,244.859
258.818,248.571,321.245,225.459,231.339,249.516,250.527,240.551,255.647,234.559,251.109,279.738,220.167,201.475,225.34,304.918,205.737,239.064
262.453,257.216,321.009,227.376,230.321,245.278,244.417,239.098,250.969,235.835,248.137,268.639,220.459,200.012,228.756,304.959,219.723,262.304
258.846,259.792,318.845,227.866,226.914,248.385,242.704,239.724,249.432,229.444,243.016,268.191,217.649,203.485,224.381,310.835,215.179,261.377
268.047,264.447,328.035,230.615,228.428,249.9,246.666,238.567,250.699,231.431,245.727,272.642,220.874,202.13,223.481,314.247,230.939,266.374
267.944,263.423,317.023,227.984,226.654,249.154,247.916,243.764,244.081,229.891,243.58,274.244,226.227,201.917,219.935,322.794,230.133,267.353
269.543,266.482,314.008,227.933,229.181,246.987,245.533,240.319,242.411,232.979,245.387,271.512,226.89,204.793,217.17,324.217,241.22,291.917
276.992,263.843,304.507,224.056,225.636,246.862,241.904,237.385,246.576,235.66,245.803,269.398,231.703,201.522,217.028,331.429,248.145,313.301
285.927,268.58,291.897,223.387,227.402,245.634,243.099,238.773,239.725,224.569,239.621,267.142,229.795,211.065,222.537,328.025,251.968,322.144
289.36,268.927,283.397,222.586,226.572,245.468,244.347,233.106,240.051,230.354,246.738,273.84,227.732,216.324,218.402,329.415,256.847,328.764
286.864,264.436,271.561,219.907,224.108,248.438,248.181,237.423,237.803,225.777,233.201,272.932,228.617,214.534,216.909,327.192,266.532,322.248
286.014,265.316,262.901,223.919,228.862,243.401,246.417,234.779,239.068,224.476,242.895,277.216,230.619,214.877,216.544,324.602,265.477,333.227
282.3,258.013,252.769,222.131,227.016,244.841,241.956,238.49,235.937,229.705,238.182,266.969,230.926,212.704,213.272,322.376,259.795,312.733
273.555,249.192,244.658,226.561,225.542,244.75,242.069,235.832,235.141,229.947,237.807,268.846,230.489,216.546,212.712,315.857,258.905,299.439
253.982,230.885,237.533,220.088,226.775,242.56,244.634,237.327,234.641,229.559,236.275,279.691,229.176,216.481,205.091,290.775,241.74,262.233
236.602,219.807,228.401,225.872,227.048,243.481,245.344,237.483,239.574,224.918,233.719,268.454,226.2,234.034,213.021,290.242,227.595,238.291
227.543,214.289,223.396,231.201,230.128,246.553,240.269,234.829,235.075,233.891,238.018,277.043,227.5,224.781,209.86,276.464,206.618,219.972
218.357,210.48,223.777,246.932,234.903,245.949,245.941,233.042,232.324,228.011,236.029,267.367,229.302,222.657,210.449,257.981,204.59,214.644
211.415,207.176,220.521,261.853,249.076,243.331,245.606,238.613,236.301,227.207,234.383,267.136,229.365,226.29,210.105,257.53,194.078,212.463
213.454,210.777,227.839,271.935,246.375,245.044,243.161,235.42,237.527,224.476,244.207,270.954,223.484,223,217.73,264.646,194.746,214.279
