T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
209.278,203.12,202.004,277.811,301.458,250.294,287.553,284.448,381.342,291.904,300.602,245.94,297.132,231.134,303.409,252.892,215.647,178.959
198.506,203.11,195.837,276.91,295.164,251.501,284.45,281.336,413.668,302.736,306.635,239.227,296.526,235.416,293.294,243.69,209.202,170.521
189.915,202.681,199.008,278.551,291.442,252.145,281.243,295.052,420.503,318.73,300.759,238.65,292.926,229.058,293.146,246.044,207.499,167.901
185.492,200.707,196.225,275.184,291.024,262.065,292.034,281.306,434.872,329.244,302.113,234.998,294.368,238.079,287.69,250.179,209.798,164.122
179.703,202.079,193.845,263.623,305.152,268.636,293.408,286.609,453.941,318.91,314.022,234.794,289.442,241.766,293.083,245.314,204.004,159.523
179.44,202.789,196.585,270.516,283.924,245.71,289.878,311.67,493.296,343,320.38,247.176,284.116,230.647,276.674,258.542,209,158.744
181.09,205.644,204.017,273.184,286.917,250.581,289.679,314.927,498.036,350.916,327.391,242.067,290.674,231.284,280.229,277.92,220.193,161.053
180.763,201.358,200.754,266.98,287.936,257.425,294.601,305.452,469.405,331.317,319.748,233.848,286.468,232.624,283.154,275.131,221.271,162.56
176.893,200.561,202.25,272.527,280.302,244.967,283.839,331.679,516.168,349.556,342.219,255.68,294.116,227.637,279.766,276.133,219.525,159.491
181.641,204.923,203.839,271.9,285.515,253.213,287.181,320.964,501.158,334.045,329.526,237.594,290.142,233.318,268.32,293.239,228.736,164.829
180.122,200.626,204.663,269.439,284.04,253.771,286.564,304.948,461.984,317.587,328.949,230.337,293.953,233.261,272.711,290.381,225.929,162.219
182.081,201.024,203.587,269.488,290.235,258.824,294.406,306.406,430.039,300.081,329.04,236.097,293.137,229.332,274.844,280.577,222.785,168.419
220.086,231.646,222.039,266.396,300.354,268.106,296.395,291.042,389.266,287.969,318.682,229.742,298.937,249.626,300.221,362.148,290.772,204.627
246.442,266.478,263.643,287.859,298.1,256.286,295.227,283.064,356.372,264.067,314.974,238.541,301.574,256.495,334.307,445.252,320.967,223.143
269.709,309.386,317.093,320.701,327.881,257.804,294.782,277.255,334.891,245.185,297.354,240.631,302.7,281.776,378.154,515.524,358.501,231.528
287.914,329.472,365.18,392.334,352.758,264.697,286.064,273.918,307.099,238.551,292.401,231.232,306.979,316.742,481.635,614.493,380.319,234.426
302.5,364.325,394.211,474.207,414.074,271.986,287.927,261.379,286.954,230.534,291.493,238.219,313.174,358.787,546.948,649.918,386.993,229.316
323.286,403.455,446.529,572.846,449.019,277.683,295.569,255.994,283.711,230.601,286.08,231.764,329.616,388.742,590.362,717.883,422.392,238.065
332.893,429.033,456.122,614.049,494.686,278.888,293.25,258.021,279.378,228.531,296.821,234.639,345.589,422.932,670.172,745.007,433.59,246.373
323.861,421.567,459.738,632.49,498.995,286.427,291.484,256.376,272.503,225.143,288.588,238.021,344.905,419.611,712.229,773.522,443.41,248.493
305.801,413.563,444.233,575.445,457.071,273.534,289.97,260.239,266.52,222.652,289.277,238.178,325.074,373.447,674.672,754.706,431.867,247.968
296.65,381.746,415.004,513.469,422.261,262.499,287.31,256.524,258.02,221.548,279.496,234.043,321.874,348.466,624.13,720.347,418.155,240.839
277.233,361.524,370.223,441.865,390.285,264.63,294.367,260.945,268.135,221.612,280.416,239.624,313.305,332.645,600.146,671.593,390.933,230.588
268.496,356.89,366.957,415.949,361.511,257.446,285.927,252.652,250.632,221.419,276.788,235.185,312.979,319.561,579.87,651.336,380.319,222.113
264.021,346.207,348,389.281,365.325,258.151,288.025,251.312,251.743,219.272,278.372,235.073,320.568,317.063,550.133,612.443,377.614,222.21
270.987,367.053,356.593,379.545,335.675,253.333,289.413,259.17,252.734,221.337,279.989,232.17,311.658,298.803,510.07,585.887,360.322,216.357
278.008,373.935,344.667,368.645,348.233,257.675,291.31,256.448,248.516,218.278,281.726,235.354,299.637,305.918,502.464,564.392,360.727,218.624
