T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
572.101,864.395,694.916,655.605,493.379,547.832,373.721,303.049,247.028,247.887,226.134,254.738,349.764,674.367,768.062,1270.725,585.287,531.973
537.282,760.339,594.309,564.722,435.91,484.986,362.021,305.78,236.243,244.73,225.115,254.196,342.779,644.343,788.462,1310.63,585.3,526.636
564.616,697.987,515.615,495.171,386.86,452.515,353.321,303.419,243.256,241.138,228.638,250.752,341.64,645.312,799.107,1371.498,584.174,536.303
582.432,632.18,464.584,440.575,368.371,431.973,339.467,306.65,238.95,245.314,223.432,249.434,348.097,673.919,839.966,1447.694,583.275,532.08
591.314,591.294,424.245,402.976,347.257,405.671,343.564,298.096,237.489,245.767,226.649,249.747,351.615,694.929,831.993,1508.845,584.528,536.278
557.652,506.813,386.218,373.53,339.431,391.376,340.877,293.033,246.843,250.512,231.417,251.868,357.303,702.304,852.917,1566.325,554.507,545.188
468.949,449.431,348.235,350.387,316.436,389.468,344.389,304.951,239.607,248.266,227.613,250.653,356.774,700.146,842.931,1591.952,517.718,519.945
436.792,414.195,328.101,334.116,307.477,369.472,341.279,302.996,234.233,244.034,228.649,251.743,365.98,721.906,849.533,1642.55,524.672,531.671
393.2,388.408,323.504,331.191,307.429,364.405,338.052,304.915,242.789,240.574,229.511,255.635,368.561,717.873,860.935,1669.923,520.094,545.46
349.734,353.936,305.471,319.96,299.397,355.984,333.329,303.648,239.304,248.652,229.081,253.22,358.128,680.881,821.734,1649.623,486.589,559.593
313.034,336.464,296.084,305.764,286.739,344.305,344.666,305.955,232.598,240.04,228.896,251.245,342.684,633.476,790.83,1603.992,457.585,544.695
294.57,313.006,284.416,287.202,277.686,344.928,335.05,305.543,241.969,246.216,223.8,249.415,324.514,589.13,722.935,1534.391,423.943,515.951
272.108,298.247,276.533,303.549,292.03,343.951,339.235,303.404,235.341,245.99,222.717,249.939,322.633,583.669,720.614,1483.586,399.961,444.096
268.358,294.429,280.698,352.86,319.611,340.573,331.924,298.9,242.319,237.874,227.257,253.47,315.638,611.602,758.759,1459.028,395.826,403.605
265.913,298.895,285.436,382.339,332.15,353.601,327.144,301.606,241.1,239.044,224.226,246.071,310.105,624.089,770.725,1434.488,406.911,439.601
257.585,287.337,273.658,383.872,344.943,354.342,335.449,307.781,237.789,243.338,223.962,251.299,309.98,641.706,793.228,1354.536,392.468,438.225
249.797,282.82,268.313,395.741,398.414,379.46,338.869,302.53,236.126,242.686,222.045,249.938,320.25,692.042,805.739,1274.084,365.064,405.319
241.02,270.794,260.661,390.949,491.146,483.157,354.637,311.752,238.569,239.132,223.389,257.507,344.913,756.248,766.455,1144.863,329.369,352.151
242.14,266.852,252.126,356.824,523.154,558.853,359.977,305.99,239.928,237.53,223.713,256.2,373.448,748.797,653.351,1046.292,301.617,325.29
234.742,258.172,249.34,319.356,525.421,629.832,388.992,312.821,240.459,233.602,223.96,253.743,399.326,711.343,546.784,985.653,282.048,295.258
235.391,256.901,248.79,293.611,492.632,692.618,411.115,319.461,240.857,231.746,224.206,266.809,407.823,630.489,467.275,914.908,264.195,273.489
231.404,257.144,241.697,276.501,417.813,684.943,470.076,337.74,241.883,233.499,225.283,293.149,411.776,530.925,404.933,860.575,257.335,267.307
225.029,257.421,239.646,265.379,365.002,690.808,572.316,350.549,247.304,232.692,238.832,348.738,421.933,454.643,364.879,804.5,250.374,252.108
232.531,251.938,239.907,261.861,322.492,637.538,641.781,376.134,250.181,239.922,247.517,401.264,418.2,403.765,339.045,766.019,245.766,247.207
226.457,249.305,246.379,254.9,298.519,582.642,725.491,410.571,253.594,242.461,255.396,458.757,417.116,366.747,319.543,741.05,241.349,238.851
223.154,244.906,238.794,250.443,279.585,525.094,802.316,427.049,262.076,249.331,269.732,488.41,378.589,338.906,299.94,697.508,239.408,237.691
223.224,249.953,242.109,250.964,267.874,466.888,876.345,478.309,261.743,253.658,288.934,545.533,347.088,316.966,293.589,680.166,235.392,232.376
224.278,241.62,236.94,244.816,262.125,424.857,942.554,515.48,257.281,265.442,313.243,603.198,323.992,301.118,284.978,649.555,236.103,232.918
223.91,243.867,237.163,248.346,255.932,397.71,1027.347,559.364,266.167,271.539,333.311,670.696,311.129,295.172,283.792,622.595,234.578,228.898
222.212,244.258,238.251,245.983,255.543,388.593,1048.318,591.537,276.596,282.168,359.67,672.078,300.498,290.455,271.181,592.528,234.555,227.613
221.468,241.524,236.679,245.267,249.076,363.454,958.927,596.443,293.002,303.419,374.449,621.872,283.159,285.127,273.96,580.456,227.612,227.164
220.394,241.876,240.418,246.308,241.954,337.638,739.146,681.016,352.769,342.509,423.562,510.429,260.71,282.351,270.583,555.214,230.752,224.376
220.903,240.732,236.844,243.996,244.118,325.609,638.82,790.429,408.287,399.987,459.43,455.688,252.355,275.581,265.484,543.206,227.397,222.91
219.5,239.584,233.984,240.777,242.19,313.687,583.629,886.64,511.176,473.671,479.113,414.658,251.722,274.076,268.109,530.463,224.913,221.055
219.788,236.388,237.85,245.142,241.757,316.609,522.606,758.15,595.167,551.05,422.798,372.955,241.864,271.769,264.759,511.642,225.119,218.528
212.445,236.189,235.23,240.454,244.848,306.231,464.454,660.5,688.763,632.279,383.73,334.686,245.241,269.666,264.572,500.319,217.94,216.092
217.015,237.646,241.757,243.003,242.766,308.233,437.661,570.923,731.591,687.459,350.087,312.517,241.561,273.245,262.574,486.734,218.307,213.511
