T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
201.973,215.534,202.998,193.706,203.982,200.981,211.209,301.182,276.299,236.446,282.119,263.852,190.023,183.919,183.575,202.757,198.828,190.417
198.817,214.459,200.949,190.075,199.64,201.318,208.574,297.53,268.685,235.879,278.32,263.101,188.502,182.59,181.923,202.621,199.673,189.098
202.491,214.334,203.36,191.917,204.323,207.219,213.234,299.668,270.324,231.838,275.537,260.311,193.565,185.433,186.845,204.581,197.925,190.795
199.685,216.412,201.963,187.853,201.916,201.483,213.574,300.368,276.752,238.968,276.304,257.663,188.021,181.705,184.788,202.798,193.658,190.558
199.232,212.529,206.771,189.36,203.027,204.94,207.623,296.988,273.429,236.401,279.174,261.938,193.267,177.588,182.066,203.436,198.277,192.248
198.027,215.816,197.164,187.713,200.62,201.116,208.302,294.262,276.6,232.949,278.678,251.626,189.578,180.747,182.781,204.434,196.758,194.029
196.243,216.191,199.759,191.671,206.503,206.213,211.877,293.777,271.969,239.81,270.123,258.667,192.935,182.348,186.722,208.121,200.665,189.859
200.746,213.217,207.986,193.086,205.339,208.037,206.906,300.344,276.062,234.9,274.392,262.677,191.293,188.488,186.483,207.258,197.813,191.032
199.498,213.283,206.055,190.287,201.898,211.74,210.581,297.097,274.612,237.348,276.796,258.16,189.88,180.454,185.161,205.49,194.781,190.975
198.134,218.589,205.599,192.45,202.959,208.091,210.717,298.683,279.46,237.964,275.864,265.582,192.221,184.472,182.878,208.043,201.478,189.702
198.973,212.997,203.102,188.489,204.595,210.045,211.617,300.588,273.241,236.053,282.383,261.148,192.196,182.12,184.547,202.221,199.895,186.152
202.125,220.255,206.748,192.664,208.706,208.469,209.726,297.729,275.353,236.431,278.387,263.294,193.341,183.714,186.9,208.6,200.723,190.185
200.576,215.069,199.335,189.664,203.374,201.18,207.46,301.278,278.674,236.081,273.085,254.319,187.233,179.449,184.956,204.239,194.709,186.223
199.355,216.482,198.626,186.741,201.207,207.853,205.223,297.504,272.473,236.38,275.506,256.922,189.592,180.645,182.095,205.521,196.777,189.103
199.007,217.054,201.74,195.489,202.454,207.841,212.451,301.153,277.158,235.866,273.438,261.531,188.424,183.993,183.587,207.452,198.762,190.487
201.951,215.844,203.885,197.215,205.219,205.632,207.004,301.731,278.491,235.164,281.273,254.784,190.364,184.53,184.575,206.131,198.973,190.442
201.199,219.555,199.742,192.616,209.006,201.804,207.174,296.789,274.069,237.544,276.544,257.325,191.154,184.472,185.184,202.428,201.068,191.733
204.141,221.388,201.063,198.325,212.571,206.996,213.074,301.84,273.775,237.03,278.723,263.01,195.514,186.327,188.506,206.103,203.571,191.52
197.772,223.165,203.863,197.149,209.84,207.262,211.998,305.099,276.085,234.394,279.309,264.946,192.3,182.27,188.158,209.234,200.99,190.282
200.268,221.127,204.264,196.379,206.618,207.609,208.472,300.034,272.946,239.222,276.43,259.152,193.864,182.394,186.841,203.718,201.696,190.168
201.368,224.551,199.904,196.596,203.82,204.184,206.332,295.16,279.844,232.132,274.434,259.652,192.115,183.611,181.747,204.718,198.481,194.558
200.835,221.009,206.065,193.908,207.268,203.682,213.336,294.153,273.415,235.691,269.114,261.975,193.415,181.223,186.316,206.088,200.57,188.189
200.116,224.73,202.19,193.039,208.039,209.626,216.055,302.552,280.263,238.186,278.826,259.955,194.168,186.311,185.973,206.273,199.922,189.168
200.897,219.622,204.231,194.41,207.074,207.366,211.194,302.811,275.027,236.384,269.098,258.881,193.081,185.659,187.264,205.475,198.884,189.422
201.855,223.343,209.967,192.25,203.137,208.833,207.26,298.818,278.725,237.405,276.025,260.634,192.38,183.295,186.227,209.282,199.381,192.818
201.462,221.218,208.996,193.441,209.168,205.568,209.413,303.426,267.462,233.141,277.257,262.986,191.65,181.611,186.948,204.393,203.514,189.317
198.879,225.019,205.08,192.309,206.798,207.897,213.177,298.801,279.04,232.977,271.62,258.348,190.136,184.558,187.295,207.002,201.706,190.116
