T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
853.162,1077.321,732.031,625.393,724.738,552.684,428.73,307.9,243.47,260.789,234.267,245.914,385.022,436.618,442.394,384.041,491.538,662.051
841.36,1048.618,763.553,644.016,742.157,542.629,421.587,306.783,237.128,258.727,233.566,247.581,370.359,434.566,439.277,387.192,515.413,709.529
868.843,1028.2,758.648,640.654,718.894,532.215,406.129,304.821,235.028,262.056,229.066,237.836,354.205,407.469,405.566,368.091,492.596,695.363
909.055,1007.132,753.465,633.459,680.645,491.631,389.604,302.762,237.028,260.962,228.311,231.4,340.006,362.691,376.997,352.181,470.346,709.274
911.53,1019.329,771.4,627.008,669.823,459.697,385.674,312.188,234.075,256.758,228.474,223.578,310.676,348.528,353.891,321.907,446.984,679.174
884.388,999.592,759.557,628.198,671.639,463.417,386.022,306.664,234.762,258.299,228.739,215.919,294.192,321.799,326.203,300.093,432.295,655.483
862.362,993.005,744.866,611.929,660.111,477.601,376.295,307.64,233.541,262.464,226.744,213.1,285.519,304.365,308.694,296.409,422.247,646.909
815.372,939.463,679.114,565.335,611.441,444.485,372.86,302.786,233.85,259.288,227.746,209.253,279.202,288.003,290.374,289.558,405.817,643.494
776.475,876.171,652.9,543.027,555.898,398.495,356.421,300.174,224.545,256.094,223.103,205.542,256.708,280.361,285.297,288.728,405.455,647.731
769.34,851.432,621.163,524.775,526.55,389.586,368.43,302.924,222.728,262.062,225.037,208.378,258.833,279.347,300.711,300.843,419.522,678.243
651.35,765.039,533.514,435.368,444.723,349.684,367.528,307.895,228.043,259.641,230.772,208.386,253.894,289.788,300.571,308.159,413.551,666.189
618.08,716.766,515.717,436.684,431.69,345.149,365.073,295.155,222.866,257.635,223.873,204.928,253.728,292.896,310.897,331.505,393.122,651.037
557.66,684.7,504.453,425.365,432.166,336.556,361.32,298.838,223.825,258.829,226.042,202.731,249.208,294.476,326.643,328.33,386.349,640.3
519.372,625.847,467.114,425.989,440.461,346.702,354.871,295.755,224.504,259.603,223.627,205.883,250.965,308.184,328.811,320.319,368.327,598.654
507.323,576.287,448.051,418.591,444.989,334.561,363.725,297.96,223.374,256.205,230.232,204.253,249.42,310.854,341.117,317.431,375.26,593.311
484.82,536.466,412.409,416.541,483.41,341.692,363.787,302.19,233.463,261.152,224.483,211.364,251.942,336.566,353.017,309.56,351.686,567.937
456.533,498.779,391.004,416.827,483.871,342.854,352.761,300.576,228.963,259.605,227.914,208.628,251.622,346.868,361.166,306.794,358.151,559.78
447.46,458.45,375.571,421.368,493.169,345.439,356.129,307.41,230.465,253.459,223.2,209.581,261.26,356.281,374.589,292.269,342.696,528.554
409.175,406.442,336.36,415.096,524.282,371.237,357.261,304.807,227.886,256.417,224.037,215.836,280.256,385.719,377.774,271.618,316.279,539.831
380.443,345.418,279.738,299.731,491.392,477.432,399.857,314.555,233.539,259.558,223.577,266.244,392.087,361.715,289.537,222.654,246.452,455.397
385.14,347.361,271.665,281.651,457.146,478.581,396.25,311.86,233.295,262.013,224.754,278.233,397.897,344.24,262.183,216.632,236.401,425.9
368.688,341.726,274.74,266.113,412.186,494.247,425.683,313.733,232.514,263.226,228.243,306.689,406.718,305.705,239.814,209.396,228.853,422.6
369.082,339.011,265.435,257.728,374.463,545.439,474.197,317.979,231.587,262.63,232.162,333.319,433.721,268.483,224.594,207.099,229.25,421.037
364.307,336.158,262.03,249.681,336.253,582.838,536.056,333.726,235.683,269.831,246.493,368.333,435.032,248.788,221.611,209.824,226.468,400.429
362.217,331.845,258.447,245.662,324.809,553.828,613.455,341.25,233.213,276.682,252.82,398.283,415.638,230.556,211.726,201.802,220.897,400.337
350.453,328.221,259.73,239.341,311.86,503.061,682.354,373.276,233.872,276.32,264.415,402.514,371.058,224.181,205.374,203.668,217.814,391.84
351.48,334.687,258.173,239.143,302.109,444.27,734.261,409.95,243.004,286.714,274.057,388.672,331.516,212.42,199.089,199.036,215.429,381.177
343.793,336.839,259.126,229.478,295.914,389.808,796.286,436.493,244.112,298.07,291.949,403.222,295.548,210.351,199.723,196.467,213.349,368.163
342.25,338.113,258.524,237.563,294.732,356.232,787.216,460.04,253.98,314.936,291.193,386.089,269.436,207.309,197.029,193.945,206.705,355.751
346.788,338.297,260.396,235.654,290.35,326.303,673.331,452.012,266.215,344.117,303.699,338.369,256.538,206.503,193.314,190.849,204.176,334.437
335.013,339.589,260.398,244.014,285.423,321.775,578.938,451.938,287.49,384.742,340.915,297.081,246.628,198.965,194.7,191.242,204.333,339.757
344.462,353.124,253.943,237.755,290.044,305.21,506.654,491.219,317.175,448.808,386.335,259.486,239.644,204.208,194.389,189.168,202.452,327.257
340.228,351.161,253.856,235.28,287.282,300.28,474.983,500.852,363.555,565.15,403.879,244.858,239.247,203.451,188.011,185.632,197.737,319.403
330.777,355.108,254.945,235.484,288.965,291.434,430.758,456.779,411.925,657.361,387.474,229.756,231.071,212.747,189.649,184.36,202.253,311.377
335.16,349.037,254.959,232.508,288.428,286.222,403.126,414.145,435.783,719.56,355.825,225.9,234.08,206.434,189.434,184.728,199.401,311.766
327,346,249.394,231.986,285.118,287.78,394.149,377.248,441.175,740.31,315.287,216.128,231.603,204.726,188.037,186.882,192.91,291.454
326.835,344.197,248.124,230.582,290.614,289.881,380.298,365.581,448.969,734.825,297.25,217.536,224.337,204.549,188.171,186.72,199.599,295.429
335.467,343.445,252.075,231.418,288.891,287.455,376.514,351.571,426.482,696.857,275.893,212.094,226.513,202.323,187.726,185.544,200.426,290.3
