T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
298.352,244.084,299.852,224.784,205.346,196.863,215.3,266.409,256.097,254,262.297,208.432,214.648,256.934,219.935,217.988,214.939,189.017
338.295,249.284,312.737,228.849,209.283,198.789,210.01,274.298,252.91,252.565,261.887,209.644,216.183,245.135,212.496,211.437,208.376,186.21
359.321,258.372,318.281,235.238,211.667,202.353,211.596,273.183,252.879,250.971,263.25,212.106,215.085,256.135,215.103,210.5,208.054,188.476
382.646,270.568,332.489,251.038,222.466,204.463,214.887,270.772,256.665,254.714,265.11,216.085,216.069,258.389,221.009,207.372,208.608,187.379
383.77,276.207,342.55,245.493,216.143,201.729,213.695,273.136,256.529,255.482,265.846,211.868,214.39,255.868,216.041,208.809,204.441,185.064
369.807,261.006,321.63,236.392,210.876,201.949,208.834,256.128,263.075,249.993,264.413,208.594,211.258,251.139,217.971,210.201,203.226,183.036
341.35,249.059,318.597,225.959,209.421,203.783,212.704,274.023,254.835,253.192,266.11,208.347,214.553,252.976,219.739,203.488,201.912,181.667
328.807,249.325,307.841,225.034,209.181,209.989,212.63,271.689,258.718,251.906,272.983,209.856,217.866,265.878,214.434,200.967,198.376,183.681
325.677,247.898,297.093,219.308,203.679,203.96,212.087,273.77,253.619,252.453,266.294,213.218,215.266,257.319,218.554,207.652,200.038,184.138
312.593,242.881,291.997,217.363,207.566,204.375,212.373,270.337,256.099,254.518,259.078,211.976,215.866,253.08,212.979,203.346,199.496,180.552
293.278,232.129,275.383,211.659,201.907,200.984,213.486,272.004,254.385,253.768,258.834,212.6,218.524,259.785,214.284,198.87,197.217,178.721
281.262,228.517,272.469,208.416,201.606,199.612,211.911,267.033,251.559,251.033,260.212,209.032,216.756,255.622,218.111,198.949,197.636,178.598
271.281,225.626,264.471,205.349,196.701,197.497,213.373,271.807,250.916,250.221,260.84,205.532,215.043,248.177,211.466,197.683,192.111,177.533
257.404,218.045,267.982,205.774,195.278,200.583,210.803,268.768,254.883,248.982,265.102,211.218,215.384,256.854,219.962,196.74,197.317,176.25
242.913,217.949,254.503,207.548,196.179,196.927,213.599,267.813,259.289,252.862,266.483,215.618,212.807,248.031,208.613,197.331,194.586,179.069
218.575,205.262,251.476,199.909,195.409,198.248,213.202,269.387,254.203,255.178,268.474,213.147,215.911,251.517,218.018,197.833,195.683,179.857
219.219,200.875,248.86,201.284,191.706,197.233,213.264,270.658,249.568,251.71,261.128,207.632,214.474,250.833,213.311,197.724,192.297,176.486
217.957,202.235,246.169,201.495,193.491,200.359,213.262,269.247,250.696,254.399,262.108,210.144,215.203,251.503,214.085,197.427,193.523,176.438
