T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
172.146,228.277,279.113,293.779,231.695,278.622,252.03,491.857,382.1,313.705,269.785,246.678,271.118,310.905,278.597,205.012,194.21,199.774
171.441,217.252,266.543,283.394,230.757,280.171,244.193,504.536,448.792,403.877,284.992,245.794,278.809,296.306,260.759,203.511,189.522,200.458
172.625,215.774,263.064,274.618,226.088,279.695,245.545,527.517,537.476,436.339,311.711,248.455,273.613,298.31,254.861,201.067,189.181,194.734
173.933,215.655,261.22,278.956,225.339,272.055,252.464,534.777,534.204,442.344,314.69,251.007,270.78,293.702,259.356,202.23,188.002,193.23
173,211.326,260.654,272.823,226.805,275.492,250.345,521.603,511.235,405.115,301.853,251.73,277.071,291.918,255.785,202.768,189.288,194.534
175.103,211.407,254.971,272.546,229.319,269.329,245.987,512.654,473.783,380.388,292.419,245.969,275.865,295.48,253.485,202.475,188.52,191.136
176.148,215.377,257.307,272.991,227.424,273.541,250.624,536.924,491.71,379.174,303.938,251.45,276.97,296.085,261.458,201.194,190.122,193.955
175.731,213.02,258.537,269.122,224.29,269.73,250.215,524.09,465.469,364.271,299.55,250.849,282.96,290.74,257.478,200.922,186.944,190.609
174.28,210.105,261.473,277.297,224.481,272.283,248.433,532.2,458.814,364.392,302.18,247.432,271.917,289.289,257.56,196.258,191.131,191.368
168.5,208.38,257.115,263.855,227.5,271.965,243.738,526.38,460.004,374.925,314.824,245.583,275.167,289.148,245.723,198.538,187.51,189.281
173.974,211.488,256.541,268.788,227.506,275.945,246.65,533.354,430.42,338.859,331.905,256.031,277.25,282.963,256.726,202.254,188.278,189.293
174.688,212.037,253.883,265.509,221.7,276.098,254.433,571.233,428.684,314.841,361.876,272.149,287.201,288.046,249.673,200.719,190.866,191.679
173.397,206.755,252.185,274.3,227.212,295.726,293.423,619.239,383.095,282.456,362.002,313.913,338.913,294.162,252.69,198.881,188.968,197.837
171.944,208.416,255.739,268.406,228.091,313.986,326.67,636.031,369.347,272.101,380.045,348.79,371.632,302.053,252.752,199.365,186.776,199.317
169.957,207.101,241.144,257.129,228.739,342.65,377.03,631.691,353.038,261.921,388.428,359.367,388.493,298.474,235.058,192.255,187.136,192.641
171.938,208.909,252.66,272.408,240.072,379.203,432.601,598.777,320.533,251.443,355.508,385.52,409.22,315.58,254.013,197.523,187.636,195.745
172.172,210.068,252.685,283.134,248.628,427.925,498.118,584.219,314.518,243.143,342.593,410.314,450.115,324.798,262.038,199.906,189.885,198.822
174.216,206.975,249.091,292.424,278.891,514.589,527.412,528.102,288.007,231.504,286.647,505.846,563.665,344.02,257.204,200.15,186.542,193.951
172.008,215.454,264.286,351.479,421.768,689.925,542.521,506.869,273.334,224.209,271.564,515.717,643.365,410.696,301.142,207.631,193.386,199.446
175.496,218.99,256.539,358.645,461.22,742.246,517.373,496.562,267.184,229.216,260.483,482.622,668.863,437.009,297.923,206.363,189.597,195.944
170.923,220.196,266.391,365.475,479.368,739.703,473.732,489.967,258.208,222.89,264.68,447.273,651.852,453.201,304.447,208.163,190.732,198.183
171.68,225.137,274.14,384.419,510.354,770.012,422.738,477.018,254.655,224.806,259.609,397.393,645.998,489.566,306.418,208.572,187.664,198.139
173.646,231.49,273.576,422.666,545.193,764.411,375.483,471.898,256.188,219.925,257.669,357.475,630.833,545.745,321.827,209.305,192.063,196.054
172.569,232.416,275.197,456.357,586.611,740.26,342.18,465.084,253.184,219.134,253.713,323.972,595.498,594.42,333.688,208.376,192.934,198.281
171.565,236.318,285.335,476.424,633.911,691.337,318.388,458.098,248.529,220.916,250.692,307.025,563.839,650.139,346.496,206.056,190.251,200.69
173.948,235.851,297.391,541.724,657.109,627.043,298.526,458.098,245.861,213.974,254.134,290.054,501.102,737.42,386.863,207.053,190.656,197.62
173.202,243.319,305.59,620.721,661.37,549.421,282.931,463.642,243.606,217.112,252.19,280.393,469.795,797.051,471.223,210.16,189.124,192.582
173.67,247.6,322.774,703.493,628.187,481.752,277.112,452.863,242.177,216.971,254.058,264.813,416.398,772.864,530.033,213.363,191.044,194.815
174.082,253.448,345.368,813.53,596.724,445.933,265.773,460.202,243.71,218.284,251.855,263.787,398.569,752.112,604.555,220.74,190.797,195.522
172.776,255.152,361.045,873.788,534.121,397.785,258.062,451.583,240.9,214.683,248.298,262.946,362.646,668.092,674.73,224.202,188.253,190.551
172.878,265.958,380.068,947.917,474.626,372.163,257.685,461.274,238.945,215.187,253.345,254.237,352.177,608.779,742.77,230.534,191.446,189.333
171.907,268.132,446.181,898.829,410.257,351.677,252.12,448.943,239.199,214.372,251.107,249.453,327.028,527.643,707.624,245.556,190.385,186.473
171.923,282.486,562.101,751.846,333.498,329.313,255.268,455.454,233.175,211.709,250.06,246.303,307.085,427.735,588.77,294.306,198.619,186.752
174.054,296.497,617.278,628.553,301.831,318.652,252.835,450.301,237.542,214.029,249.287,248.635,302.74,394.779,508.241,327.997,207.868,188.004
175.563,298.285,575.516,518.698,276.303,307.144,249.161,443.579,235.732,216.205,250.459,242.812,292.97,365.175,446.157,336.082,220.947,186.721
173.113,314.157,500.031,441.431,263.01,303.244,242.124,449.793,239.259,211.031,244.641,242.542,290.306,348.787,379.79,309.906,237.508,192.216
174.856,319.853,418.815,376.002,252.545,297.943,244.655,453.992,238.186,214.654,242.118,244.049,292.168,340.716,336.606,273.473,235.273,193.545
175.658,298.427,357.097,348.482,245.891,290.815,244.987,451.409,240.739,213.075,247.607,244.185,284.984,330.665,312.688,243.101,223.286,192.498
174.514,267.351,313.994,324.613,237.984,288.904,246.603,450.701,242.911,221.835,250.157,243.813,282.694,318.218,294.064,225.773,212.849,194.65
176.738,249.247,301.969,305.074,237.113,284.77,245.21,457.323,284.615,260.562,253.535,242.697,276.391,309.265,282.458,215.276,201.398,191.366
172.195,236.885,278.753,299.56,231.488,280.894,238.275,469.057,314.442,288.222,260.109,240.962,271.255,301.998,273.925,206.414,196.995,193.362
172.099,230.073,274.315,290.41,239.156,280.276,244.704,479.413,356.385,324.456,272.136,240.799,266.969,298.648,270.821,207.357,192.188,195.645
170.883,222.611,263.366,284.452,230.049,278.555,243.848,490.014,400.675,372.533,280.864,241.899,271.951,297.862,269.938,200.728,187.359,197.389
172.885,220.59,266.463,281.357,226.278,277.754,244.247,510.315,467.558,407.85,296.219,242.699,268.679,293.077,259.131,202.292,191.681,191.446
169.323,218.953,264.588,280.661,225.387,272.03,245.305,512.945,493.931,446.214,318.014,243.954,268.807,299.412,258.018,199.018,190.049,187.043
172.071,217.785,264.072,276.164,231.566,273.213,248.245,526.8,533.246,480.562,331.176,248.025,270.082,295.369,260.115,198.587,188.314,189.786
171.791,215.221,256.757,271.823,225.636,280.713,253.38,531.534,532.573,471.672,332.62,248.941,269.543,283.689,254.637,197.885,189.424,188
172.275,213.679,260.982,273.281,228.811,275.179,262.727,531.135,522.856,466.196,340.574,255.54,271.783,291.94,258.339,197.757,189.378,190.504
172.098,213.257,261.183,269.882,226.805,265.122,245.191,541.487,540.728,479.811,347.667,259.861,273.83,283.556,250.478,200.753,188.661,189.844
173.396,211.706,262.128,267.23,228.706,272.756,247.446,543.327,543.263,484.72,358.831,253.791,274.059,287.991,246.991,200.396,186.598,191.937
171.501,212.846,257.037,267.783,223.395,277.5,251.084,523.121,515,457.786,351.242,255.277,267.95,288.262,256.998,196.455,186.269,192.178
171.64,210.615,256.541,270.85,224.379,271.602,249.026,532.994,523.593,438.079,352.463,260.519,272.259,291.272,250.122,200.152,184.944,189.71
173.879,210.326,258.79,267.449,221.885,274.955,255.305,537.685,511.303,445.738,357.411,260.588,268.634,283.803,249.436,197.884,185.817,188.797
173.161,210.701,253.903,260.887,222.625,272.972,247.74,549.354,540.365,473.963,379.205,266.604,273.071,294.238,251.489,200.728,186.637,184.725
172.85,210.927,251.782,267.615,223.809,277.488,254.268,551.145,540.414,455.15,374.634,256.057,269.913,286.128,255.334,198.221,189.612,185.987
169.081,205.985,250.7,266.484,225.327,266.74,249.44,535.62,485.358,397.918,355.273,259.088,269.613,286.095,253.735,195.158,188.224,189.226
172.279,210.875,252.821,265.088,228.123,271.904,256.839,545.485,454.98,382.308,364.893,260.427,274.2,285.653,250.376,197.175,186.576,189.987
171.293,206.171,249.788,262.424,227.486,272.439,262.903,585.094,446.024,335.319,382.163,276.118,284.936,280.878,245.051,195.216,185.876,190.942
172.731,204.627,252.646,271.509,223.57,293.262,286.644,618.432,408.819,311.474,382.886,304.746,314.307,289.277,249.031,198.24,185.158,191.822
174.331,205.919,251.868,262.979,222.175,297.557,300.446,625.145,382.92,281.676,396.471,331.638,333.415,286.981,248.394,202.768,184.549,197.697
168.891,207.389,251.646,264.378,224.193,315.37,337.279,624.671,368.529,275.784,397.252,356.881,362.773,298.524,248.226,194.954,188.59,196.187
170.801,207.084,253.241,261.104,229.337,339.949,373.948,599.115,341.219,256.985,376.857,377.342,388.148,298.767,255.805,200.876,188.612,205.851
170.587,206.358,250.595,264.562,236.356,379.874,434.71,571.127,322.308,247.383,357.421,396.471,419.571,307.828,249.241,199.781,185.478,201.085
172.341,208.481,252.411,267.988,248.922,431.136,488.496,556.945,308.445,242.344,328.7,421.254,467.148,321.422,257.131,197.839,189.307,210.473
170.968,206.549,250.831,274.339,258.228,463.425,528.045,549.243,301.982,235.478,305.244,465.157,533.981,338.604,259.376,199.107,192.239,207.216
170.174,206.454,249.342,277.684,279.459,507.561,550.33,539.282,289.604,225.623,289.878,505.455,570.641,350.022,273.055,202.127,188.971,209.011
172.247,202.875,253.492,290.848,306.519,569.13,562.21,512.656,285.296,228.914,283.473,509.065,607.764,376.032,277.347,201.291,190.439,207.344
174.455,209.062,254.006,303.074,329.323,594.1,559.371,508.961,272.462,227.059,266.789,507.869,624.96,384.767,298.783,200,193.907,214.676
170.952,211.858,252.422,298.023,349.514,622.978,546.91,492.877,266.469,221.985,261.467,503.789,641.222,409.874,305.661,204.255,207.481,224.324
172.679,207.907,254.263,289.903,337.803,641.051,516.843,494.47,266.111,218.489,260.114,507.424,639.892,423.98,324.909,213.708,218.595,233.431
172.669,210.944,251.307,285.438,339.56,644.191,472.938,478.411,256.639,219.89,255.738,478.725,632.085,436.721,342.066,218.598,236.164,248.105
173.206,209.821,256.597,284.376,324.745,636.258,437.12,475.571,256.757,215.218,256.469,451.925,642.372,462.515,372.195,227.936,252.375,252.603
172.874,210.385,254.144,280.744,319.936,596.785,397.356,474.078,249.617,213.835,250.395,424.498,615.514,488.401,398.737,236.28,257.163,251.746
170.047,209.926,252.447,280.304,315.652,594.205,368.483,469.129,245.445,214.167,253.182,389.923,622.326,520.497,419.022,236.068,261.666,249.556
172.168,209.525,254.965,288.512,328.823,597.234,346.032,466.681,245.392,209.687,250.545,363.065,616.873,540.77,427.814,240.844,259.463,254.953
171.168,207.275,258.064,283.295,378.169,632.108,321.631,457.885,240.763,215.271,249.587,345.56,601.009,590.349,428.228,241.574,258.458,255.692
171.786,206.787,251.49,298.041,432.784,625.152,318.745,451.959,247.699,209.491,251.079,322.034,574.521,635.364,424.531,235.346,239.595,244.223
172.136,207.034,255.588,321.012,482.245,591.898,291.547,458.315,247.735,208.251,249.302,296.304,546.054,701.206,411.863,222.843,220.968,237.42
170.299,203.032,248.218,364.756,551.897,546.065,280.234,460.773,242.089,211.711,250.545,288.044,510.149,785.548,439.423,216.609,206.466,225.707
173.04,206.397,257.058,434.046,599.829,494.817,272.039,449.043,237.447,210.108,244.198,277.925,464.368,857.939,486.206,213.719,201.01,219.263
169.696,204.181,256.78,520.733,597.555,449.177,264.526,448.861,232.296,209.388,245.574,269.203,432.745,849.711,560.027,217.417,199.356,215.884
171.06,212.728,274.195,640.834,562.465,412.142,261.393,452.695,234.759,206.562,246.469,258.733,389.24,795.026,635.268,220.682,195.195,213.248
169.75,214.603,272.914,732.406,527.975,377.266,255.985,442.196,230.704,208.189,246.471,256.553,368.062,736.971,681.093,222.452,193.078,206.806
169.854,216.796,286.27,824.371,451.759,345.022,255.912,438.64,237.978,204.905,243.326,252.566,338.064,616.43,726.991,227.678,194.242,202.027
171.63,227.596,317.167,878.355,389.245,334.795,247.908,439.145,230.117,204.037,242.339,246.913,328.667,551.673,740.911,237.948,191.732,199.411
173.582,229.606,353.088,816.887,341.014,318.006,250.127,438.483,233.781,205.782,244.789,248.669,313.415,482.15,699.193,243.441,192.171,196.185
169.056,236.728,421.3,730.56,310.247,314.045,247.285,440.879,237.15,203.764,238.636,242.766,304.122,436.024,617.053,272.795,195.046,192.906
170.324,243.135,478.053,613.836,281.735,301.545,238.079,456.2,230.816,205.434,249.074,243.36,299.135,386.291,546.98,315.481,207.175,192.685
170.363,250.282,486.963,524.751,267.432,299.437,242.086,441.008,229.449,204.414,240.095,242.326,291.024,361.663,488.358,340.765,225.342,195.763
171.915,257.618,434.525,428.198,255.457,290.392,242.326,443.149,231.595,202.2,246.101,239.288,294.125,347.418,411.451,328.975,236.012,195.476
175.401,285.492,378.494,377.906,245.568,289.089,240.468,440.767,234.998,206.899,242.43,237.331,287.255,339.189,362.195,295.75,259.876,201.853
173.937,293.841,329.175,341.942,242.193,289.087,238.339,440.491,232.942,209.244,243.362,239.876,279.793,325.372,323.403,263.019,268.583,203.377
176.694,272.953,296.13,318.903,236.691,281.287,241.296,445.593,236.962,207.203,242.198,237.242,278.632,319.204,300.4,234.918,242.592,202.489
173.897,253.706,285.039,306.101,236.697,279.955,239.549,457.511,244.931,215.042,243.839,236.786,278.264,306.498,290.896,224.807,222.597,200.118
172.098,233.363,277.687,298.433,233.082,281.876,242.541,462.658,281.511,239.863,253.138,238.73,268.062,305.429,280.089,216.598,203.32,192.288
171.677,218.167,270.875,290.567,228.099,271.998,236.749,453.616,316.633,284.551,258.731,239.661,261.293,291.821,268.958,208.867,197.019,193.06
169.99,214.642,258.881,282.18,229.677,274.421,238.285,468.701,369.381,314.96,268.641,236.817,262.747,289.918,259.591,204.639,202.561,196.453
171.655,217.367,263.405,282.832,228.335,277.622,243.942,483.382,406.854,354.753,281.963,237.527,260.962,293.349,267.737,201.829,190.02,197.784
170.581,211.801,258.484,275.636,223.486,276.982,245.363,492.8,453.471,388.086,286.217,238.98,260.502,289.362,257.989,201.753,191.475,194.685
169.177,211.72,260.362,277.048,227.307,278.057,248.835,500.092,455.878,398.65,298.368,241.155,259.036,286.316,260.604,200.818,190.439,197.283
170.468,208.372,258.936,278.823,225.533,277.909,250.807,500.155,489.427,420.011,316.473,244.329,261.347,285.577,255.914,202.709,188.669,194.683
173.51,208.682,263.381,272.541,226.519,275.409,248.914,519.965,507.164,457.24,333.851,244.596,261.455,283.765,250.805,200.56,186.061,193.574
173.419,212.367,257.449,274.601,232.056,275.106,254.639,527.671,508.586,451.084,343.345,244.357,258.894,284.281,252.416,202.398,191.231,195.096
171.543,203.652,252.665,264.588,228.603,270.368,258.004,538.252,517.575,443.156,354.942,250.113,262.582,282.33,254.113,197.668,185.668,192.668
168.805,207.976,257.36,270.27,226.315,274.1,255.998,532.495,490.279,409.053,360.963,251.491,263.41,283.345,253.717,199.993,189.746,193.082
170.165,207.674,252.875,269.82,223.64,277.474,250.345,529.065,457.648,402.167,354.264,250.272,261.377,278.99,245.248,199.721,186.022,194.585
172.357,205.481,258.115,267.806,223.352,274.283,250.796,531.971,471.54,426.76,358.446,254.342,261.705,284.548,248.369,198.172,183.942,193.65
174.058,208.787,250.551,263.747,225.2,274.898,248.341,535.693,505.197,432.282,369.076,252.221,258.837,279.772,248.624,198.969,180.912,192.592
170.22,207.899,255.393,270.136,223.899,270.333,253.708,546.789,496.186,436.086,386.349,256.173,264.101,283.046,250.272,197.165,184.425,192.272
169.416,206.508,250.926,271.76,223.126,273.862,250.957,548.217,495.814,404.368,391.891,256.221,254.885,280.031,248.5,193.72,185.149,198.254
170.321,208.723,253.895,266.021,224.788,266.815,256.133,537.356,446.396,370.084,379.777,263.249,261.576,281.063,243.96,198.974,187.093,197.578
169.83,204.89,252.541,264.253,224.298,270.384,251.039,541.337,422.938,329.311,371.477,275.082,267.432,281.539,245.765,197.608,185.488,195.339
172.941,208.361,258.189,269.327,226.654,287.785,265.976,576.041,387.6,295.269,379.302,290.471,295.552,287.716,249.378,195.672,189.778,201.645
171.607,206.367,249.687,265.671,222.074,295.459,294.845,607.973,369.44,275.621,391.357,321.434,315.168,282.422,248.308,196.643,188.207,204.284
171.852,209.904,249.697,268.334,233.615,313.921,340.657,596.977,351.427,266.035,393.079,352.187,340.29,291.956,252.159,201.04,186.244,208.444
171.11,205.706,252.654,266.94,231.019,343.476,389.062,593.951,333.082,247.621,383.948,378.165,375.219,293.228,249.323,195.063,187.515,207.808
170.258,205.122,251.051,271.631,240.63,397.073,461.365,568.305,317.48,240.231,366.167,395.859,404.908,305.26,251.573,194.627,188.844,213.011
171.51,205.397,251.905,270.79,252.539,454.081,529.813,556.585,307.54,235.348,335.868,418.617,461.868,315.476,255.938,198.32,191.856,222.562
171.058,205.792,253.979,279.825,270.811,503.427,565.38,531.292,294.67,224.187,312.006,464.65,504.097,332.624,266.967,197.38,192.808,219.21
174.808,205.905,253.49,285.636,301.632,549.858,572.391,527.585,283.504,225.205,291.287,484.458,548.856,350.509,267.489,200.001,194.142,213.027
169.555,207.419,250.807,299.919,335.854,607.758,581.742,511.209,274.876,217.48,274.033,491.48,569.457,361.105,281.004,198.697,191.269,210.953
170.048,208.867,257.516,312.29,390.208,676.447,580.547,500.476,269.839,217.544,266.721,506.705,613.677,385.537,292.741,199.124,194.181,212.212
171.041,211.505,256.142,322.737,435.702,725.837,561.418,497.431,264.531,221.073,263.147,507.484,624.326,402.473,309.94,204.042,192.658,206.755
170.118,214.201,262.01,335.207,455.494,772.179,535.356,483.916,256.779,212.718,260.529,478.524,638.792,424.311,312.405,205.635,195.285,205.431
171.183,219.056,266.074,344.523,491.27,802.136,501.343,477.589,255.624,213.066,257.432,453.188,646.776,432.155,318.967,206.581,195.063,200.08
171.837,222.09,260.916,342.774,512.214,840.366,459.7,468.415,254.881,211.011,251.467,408.828,666.293,461.328,317.681,212.362,193.319,197.553
170.931,224.419,269.198,368.339,530.158,825.856,417.223,465.454,252.243,214.09,255.384,368.912,658.495,500.031,321.515,210.26,196.153,203.953
172.58,224.247,273.14,377.498,551.934,803.207,382.073,457.963,251.792,209.778,244.671,337.205,629.74,545.605,322.111,209.195,193.947,199.534
