T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
292.277,491.369,433.894,408.215,371.965,235.748,253.364,305.328,278.172,205,343.207,360.034,255.668,429.452,416.835,584.452,393.973,422.429
296.083,506.9,432.23,408.981,382.198,248.562,257.072,306.44,275.923,203.641,337.619,353.322,267.164,458.712,443.621,579.106,411.693,433.047
291.172,506.572,430.817,415.015,384.34,250.314,257.098,303.002,276.867,200.263,332.304,356.195,261.125,462.132,424.815,568.141,409.995,435.245
295.128,496.494,421.523,413.828,390.753,253.877,262.196,305.346,278.816,204.706,333.88,360.067,266.411,444.943,417.309,558.354,387.002,384.016
274.574,419.533,373.809,357.206,327.866,226.073,248.981,310.011,276.002,199.958,328.07,350.53,242.803,351.278,310.265,441.484,289.443,291.65
257.005,401.311,355.294,337.431,305.323,220.934,253.234,302.649,275.479,198.076,328.629,340.047,237.701,330.053,295.847,419.614,272.428,271.032
256.28,391.092,352.106,324.203,293.038,217.611,250.768,304.091,274.627,199.485,322.017,343.064,238.816,320.559,292.7,420.059,283.639,257.576
254.065,397.062,347.73,315.206,283.994,216.552,251.389,307.592,274.262,199.454,329.237,340.691,235.043,309.256,287.562,439.88,286.661,261.016
251.484,393.625,338.109,302.823,267.308,208.23,250.111,301.274,275.019,199.355,327.963,322.899,234.421,306.331,279.882,444.162,300.183,273.303
247.486,381.645,331.789,297.048,259.27,210.4,247.413,302.306,273.278,200.187,325.214,331.111,235.181,303.199,278.962,449.976,303.423,269.216
252.516,384.387,342.696,305.346,269.887,207.846,247.732,301.808,274.097,200.153,324.963,331.913,229.289,304.295,285.029,452.803,307.094,261.979
243.08,377.639,326.789,293.734,258.578,200.922,243.683,297.453,277.007,197.985,332.535,332.292,234.901,289.388,287.912,464.242,309.644,282.368
244.682,368.877,324.406,287.339,248.849,203.818,244.97,305.601,278.082,199.615,324.719,329.46,229.135,293.982,285.474,485.979,324.705,306.326
251.84,400.607,353.162,298.143,253.907,206.985,247.23,298.418,272.855,196.683,330.007,339.537,234.796,304.733,303.421,502.928,332.834,317.563
257.448,401.359,346.883,303.199,265.349,206.184,248.026,300.337,268.741,201.588,332.997,328.815,226.112,303.598,297.465,507.471,338.552,327.792
251.908,400.541,343.932,301.935,261.892,205.395,249.93,306.324,278.128,197.557,323.522,327.483,233.257,299.63,296.409,501.122,331.161,326.229
239.961,385.184,338.055,291.785,257.541,201.931,251.394,302.688,274.973,197.584,320.405,336.705,230.609,290.26,286.215,487.277,329.616,299.879
230.596,373.74,333.168,300.199,255.733,201.742,249.696,301.324,272.419,198.336,325.254,324.738,229.717,304.808,285.521,484.604,317.317,280.447
222.525,371.334,335.666,293.755,257.59,204.639,248.813,303.697,271.717,196.676,329.465,322.879,230.22,300.427,279.541,481.851,312.663,254.321
217.748,367.764,333.713,304.046,260.971,207.255,245.453,302.717,275.303,199.355,328.926,324.346,228.168,299.95,281.985,505.537,318.198,254.808
223.548,362.484,325.84,298.814,264.605,206.551,246.157,303.344,273.947,200.63,320.348,321.876,231.586,298.637,271.676,490.37,317.255,241.792
212.468,348.15,325.415,302.499,249.811,200.938,245.264,298.069,278.775,197.443,325.619,325.983,222.839,298.231,274.318,471.971,302.235,231.5
200.301,339.961,319.996,308.564,258.27,202.029,247.228,298.199,279.01,206.885,325.365,323.403,231.967,306.107,274.05,461.418,290.205,222.939
194.887,334.135,310.751,302.862,260.86,202.503,250.406,300.861,277.291,200.511,326.144,330.742,231.602,297.203,272.4,476.223,288.322,216.679
189.108,318.201,317.483,314.264,259.515,204.887,248.536,307.685,278.797,198.92,323.829,330.087,226.918,303.285,301.941,508.644,295.416,216.708
186.483,317.668,303.843,311.915,274.892,204.885,240.745,298.797,275.523,196.958,328.274,329.329,227.701,301.153,314.488,534.032,305.168,216.126
181.854,317.371,301.54,329.872,276.578,206.206,242.96,303.297,276.358,197.756,327.756,323.154,233.859,321.655,353.965,567.947,308.153,213.171
183.336,314.631,307.57,330.835,287.442,208.1,247.557,305.12,279.475,202.053,329.873,333.708,229.125,319.633,368.718,569.787,297.324,214.221
178.547,293.631,289.24,347.586,301.122,210.258,244.079,302.038,276.511,196.603,319.244,330.084,229.641,353.292,397.362,532.71,294.634,211.339
178.372,292.891,286.379,336.789,304.991,211.951,240.064,304.043,268.019,200.454,325.856,318.339,240.056,362.993,396.882,507.013,291.871,212.508
177.545,277.109,263.183,339.92,326.837,219.885,249.362,303.036,274.414,198.981,318.559,315.104,233.724,403.911,456.076,481.66,284.277,211.774
174.944,257.191,251.028,344.816,351.596,222.253,246.734,302.362,277.242,200.523,322.495,322.433,239.352,436.028,471.25,444.856,264.802,211.392
169.142,240.592,237.296,333.465,386.951,232.966,245.368,303.5,275.935,202.832,322.552,317.349,242.359,460.117,465.153,393.761,244.26,201.595
172.597,232.539,224.845,335.276,430.078,249.939,245.211,303.984,278.201,199.84,323.037,314.923,259.026,550.338,480.885,378.976,234.616,209.666
170.728,223.582,219.8,320.857,445.82,261.848,241.374,301.31,276.581,192.435,325.181,329.544,301.566,715.014,486.671,360.242,230.488,207.568
168.879,221.312,215.919,292.249,448.465,274.414,241.011,307.248,275.291,193.416,329.174,332.772,353.97,852.448,459.682,354.96,217.545,203.471
167.507,219.455,209.534,266.305,448.448,282.068,241.704,306.283,277.281,198.347,327.759,339.124,395.539,907.488,391.671,339.707,213.594,202.766
168.273,216.82,208.936,251.487,451.753,300.929,248.472,303.116,276.416,194.347,333.559,362.906,449.51,921.196,343.603,344.21,210.802,205.439
168.282,213.73,211.196,234.225,416.302,301.662,255.14,299.348,277.717,204.366,337.254,391.419,479.306,875.569,302.485,331.872,205.856,203.139
169.349,212.074,208.387,223.998,391.308,298.584,274.079,315.185,274.419,202.702,345.221,447.507,514.421,793.907,286.397,330.561,206.059,205.855
167.476,212.398,208.93,216.981,342.116,306.912,293.362,313.683,280.956,203.168,361.388,501.748,537.049,706.409,264.188,320.152,202.262,202.176
167.264,213.074,211.653,213.7,299.151,305.22,327.574,331.201,283.102,212.664,381.441,596.567,562.595,616.865,256.2,330.707,199.359,202.368
170.049,208.863,206.702,208.053,271.724,293.887,369.385,340.308,286.172,209.855,407.355,690.285,542.411,527.52,252.526,325.899,202.124,204.582
165.475,206.672,214.234,204.107,248.567,271.459,397.189,351.746,289.07,209.531,422.756,726.899,506.395,449.943,240.132,325.09,200.47,201.411
167.694,207.578,214.285,202.886,237.076,258.449,463.596,383.612,295.593,214.206,452.094,808.872,467.872,408.527,245.112,333.029,196.087,202.821
168.249,206.303,210.019,203.191,224.698,243.541,498.147,408.924,308.45,224.676,498.084,843.134,420.757,373.584,240.826,318.197,199.074,203.787
167.131,207.309,214.547,202.104,218.221,229.787,507.794,444.69,348.547,243.599,567.666,874.044,378.53,356.157,238.832,326.125,195.931,200.997
170.061,206.588,209.879,201.266,214.453,219.72,473.391,482.223,419.38,271.389,593.946,778.903,344.424,343.185,234.397,322.037,196.532,202.074
167.933,208.23,206.3,203.84,207.852,210.056,394.138,492.21,531.216,333.011,593.211,654.997,312.934,328.025,241.968,324.899,196.309,201.334
168.054,202.139,206.677,199.789,208.035,203.688,340.315,454.263,618.949,385.385,564.064,555.577,290.148,319.883,242.785,317.053,197.998,201.376
167.09,202.551,204.513,200.324,201.148,196.394,311.819,417.797,681.794,421.599,508.555,493.852,269.895,303.238,239.256,322.668,197.114,197.229
166.455,205.229,206.326,195.38,200.291,195.753,287.887,392.697,738.988,428.328,488.043,448.228,259.914,306.082,234.588,324.641,195.807,198.766
166.321,203.641,202.215,195.998,199.642,196.071,272.411,371.922,737.588,412.179,444.799,419.745,247.645,301.249,233.421,322.521,194.51,197.589
168.275,203.174,204.804,201.988,204.113,193.723,263.536,351.004,683.61,378.424,410.328,388.836,249.938,299.651,233.624,322.194,195.146,202.005
168.231,199.201,206.626,195.017,198.631,190.275,256.36,324.755,564.872,335.908,374.829,379.034,244.954,297.698,240.121,319.883,194.015,201.276
169.296,201.797,206.849,197.16,199.349,187.816,246.766,330.382,498.08,300.752,366.05,360.805,237.562,289.317,232.597,322.271,196.233,199.879
174.131,211.568,215.566,200.082,201.593,192.689,244.355,314.478,431.651,275.679,358.351,361.195,238.013,291.986,232.829,319.29,196.413,202.005
187.426,235.48,236.917,208.835,202.587,190.87,242.77,308.491,392.828,252.874,352.759,348.497,242.984,290.509,239.9,327.886,200.074,204.303
189.825,246.818,245.943,224.254,205.343,189.171,243.615,309.703,360.228,242.469,333.769,351.805,236.98,290.751,243.935,336.109,207.121,202.947
198.849,260.311,260.589,228.337,212.782,190.321,239.432,311.062,337.058,227.668,341.786,336.869,239.895,298.199,248.106,358.561,214.136,208.929
208.054,268.32,282.887,235.109,215.564,191.679,245.417,308.06,323.501,223.569,338.251,338.557,239.178,293.434,258.653,402.678,225.186,220.076
213.209,286.82,294.36,233.705,205.483,189.385,247.002,311.031,309.719,219.767,333.368,338.138,235.536,299.402,271.068,427.048,241.931,231.203
