T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
188.896,214.878,247.045,296.881,314.891,305.031,323.33,294.413,249.329,166.545,240.801,230.069,288.763,282.113,283.303,253.78,176.111,167.467
186.032,206.947,243.038,301.926,310.228,302.533,316.457,291.829,248.521,164.418,233.123,231.702,290.427,277.523,286.578,242.249,173.243,165.068
189.165,208.402,239.22,302.585,317.028,306.715,308.603,293.885,248.731,164.267,233.119,223.508,293.707,273.892,285.27,245.988,171.675,167.986
188.466,212.073,240.175,296.127,315.385,304.927,317.12,289.952,242.588,163.586,232.05,223.992,295.599,281.965,279.424,248.812,174.411,164.035
190.862,213.3,236.716,299.432,312.217,309.495,323.2,288.251,248.99,164.586,232.338,234.508,287.362,272.884,287.692,241.827,173.796,166.523
188.857,211.253,238.392,299.71,310.859,301.262,318.16,293.592,248.702,163.034,234.745,223.173,288.419,275.547,291.942,242.718,172.603,166.457
184.099,209.753,240.915,284.828,310.776,309.428,322.497,282.04,239.243,163.198,228.964,227.843,290.545,288.015,283.311,243.082,174.534,163.131
189.013,210.864,236.23,301.246,305.957,300.925,317.255,291.704,241.645,162.303,239.338,235.218,291.342,272.878,284.48,244.88,178.627,165.359
186.808,211.92,246.778,289.617,319.204,306.818,314.513,286.32,249.94,163.52,234.533,236.133,291.303,281.672,291.141,246.906,173.724,165.254
185.812,213.454,241.324,293.892,314.113,298.635,322.21,293.248,241.562,161.372,234.169,235.855,285.9,275.808,287.823,248.443,177.56,168.371
187.658,205.747,240.299,286.023,302.874,305.319,325.325,290.235,240.01,164.085,231.44,229.476,287.416,288.288,282.447,235.103,170.269,166.596
184.557,212.395,236.168,278.968,311.143,318.719,320.715,291.877,242.076,164.637,232.619,223.484,291.997,286.119,287.967,239.194,177.185,164.232
188.362,208.168,237.565,290.144,315.12,299.912,321.07,291.645,247.65,162.577,234.003,229.391,286.584,280.11,283.902,240.894,177.308,164.766
187.493,212.837,243.493,293.513,315.683,307.12,315.955,298.347,246.457,165.738,231.838,230.609,293.216,279.241,283.343,245.399,175.188,168.451
193.332,211.508,245.738,290.712,317.8,307.606,310.087,297.424,253.167,165.209,235.815,243.339,296.638,276.622,294.232,247.029,178.829,165.627
188.4,209.769,244.893,295.508,314.111,303.015,313.57,296.013,243.96,161.943,233.719,229.351,293.499,280.218,287.384,247.924,179.925,169.602
187.873,207.558,242.742,295.176,309.683,308.707,320.56,295.616,252.093,162.968,233.195,233.859,293.707,282.738,283.134,238.296,176.012,165.299
