T2R,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
192.502,231.028,397.662,749.962,436.755,345.082,276.392,271.421,267.798,289.593,282.535,278.397,284.002,242.04,483.607,422.331,320.299,199.63
191.849,230.652,424.402,709.445,389.691,341.076,268.799,273.741,268.161,289.492,273.813,275.848,274.41,236.205,474.121,434.214,330.758,196.481
190.52,245.001,505.902,447.745,308.151,325.871,273.278,269.361,258.665,286.731,274.358,277.07,280.696,215.568,349.86,441.02,349.258,193.306
194.102,272.072,469.619,390.697,300.887,313.918,274.451,268.377,254.383,279.191,276.303,271.449,282.039,217.803,318.561,437.214,371.674,200.036
193.622,315.322,431.027,343.508,292.077,306.051,276.819,269.152,263.266,286.345,266.392,272.216,286.407,217.141,285.131,398.501,415.366,223.574
196.298,317.206,376.197,318.537,289.556,311.685,275.488,268.62,257.81,284.739,270.917,276.527,278.956,216.224,267.693,364.658,425.214,237.885
203.46,310.618,345.153,297.22,277.268,310.28,273,271.899,262.379,285.818,274.841,271.014,276.917,215.736,252.237,341.051,410.891,247.996
227.054,291.11,315.917,294.568,282.91,302.202,269.341,265.278,260.44,284.68,278.841,277.87,277.399,210.619,245.243,308.715,381.704,264.115
263.207,285.928,302.281,278.116,272.142,303.765,268.098,264.93,258.786,285.822,272.913,275.984,272.997,216.901,242.164,294.914,350.8,290.536
268.178,268.46,287.627,278.019,271.504,304.888,272.74,274.949,257.415,287.019,274.874,272.854,274.522,210.657,238.217,277.394,321.403,308.673
242.488,253.512,283.624,276.665,274.543,302.871,266.606,263.051,262.968,280.237,280.415,277.683,271.601,213.984,241.172,284.617,298.286,271.251
207.254,242.384,278.949,278.674,266.259,303.462,260.789,266.288,256.185,280.297,278.297,278.893,266.664,210.522,238.646,288.473,281.878,225.854
200.216,237.98,272.037,268.052,262.468,303.855,263.506,267.37,260.52,283.345,278.305,272.426,266.981,209.277,238.985,291.404,275.242,214.773
199.384,239.322,274.662,272.307,269.282,305.665,265.575,269.424,254.544,283.072,276.512,275.008,264.819,206.973,234.544,289.547,278.971,215.122
195.096,234.315,274.549,266.757,267.79,311.115,263.106,264.854,258.875,278.044,279.224,270.625,263.584,208.803,235.14,288.601,269.096,207.832
195.301,236.352,273.906,269.858,265.126,306.284,265.388,265.538,261.202,284.267,275.539,267.247,263.019,206.202,233.891,283.739,266.868,202.196
192.695,232.936,268.705,267.185,262.207,299.112,263.47,270.63,265.653,285.989,279.715,276.076,261.493,206.455,231.831,280.805,258.911,201.57
195.152,232.887,268.048,266.986,261.793,304.211,264.945,267.38,259.056,281.835,275.163,275.749,261.253,208.363,228.51,278.682,254.787,198.686
195.275,230.877,262.549,265.839,260.709,308.313,267.077,264.655,260.734,285.201,274.736,275.675,267.503,204.777,231.178,274.287,251.1,197.383
197.082,232.587,267.136,264.296,266.484,299.141,263.569,263.174,256.052,290.443,273.258,268.068,268.806,205.442,224.626,272.25,252.509,199.531
192.511,230.528,270.889,260.719,259.644,303.444,263.23,263.022,262.968,281.784,276.248,272.695,268.233,203.583,225.376,270.606,247.929,195.817
195.071,229.543,263.15,258.014,262.853,301.673,266.449,264.449,259.923,285.333,276.402,271.85,268.863,204.453,222.377,260.553,245.532,198.843
191.975,231.751,260.444,252.731,259.926,296.217,266.697,260.168,259.948,285.483,271.191,272.998,272.402,204.496,214.553,258.745,242.086,194.754
192.21,229.74,256.758,251.215,258.376,292.129,271.793,262.544,256.819,277.331,271.504,273.84,277.147,203.23,217.777,252.485,239.247,197.089
193.157,224.505,253.511,251.106,260.392,297.626,266.543,265.335,260.117,279.502,273.809,273.656,281.012,210.341,213.88,245.838,229.826,194.478
192.27,230.913,257.783,248.269,258.39,297.746,270.986,265.155,261.282,280.142,275.041,273.803,284.434,208.512,214.46,241.614,228.389,198.473
192.406,228.74,256.812,247.87,261.899,296.638,267.862,262.104,256.5,286.689,274.626,274.054,279.025,209.955,214.728,238.463,227.566,193.52
192.166,229.416,254.094,246.428,255.867,292.877,273.024,264.965,257.802,283.053,274.689,277.134,290.486,211.039,213.502,229.013,222.837,192.404
192.559,226.826,249.025,243.159,257.541,298.577,270.876,262.769,254.427,279.979,270.488,276.416,283.5,210.699,213.556,222.275,219.242,192.299
191.358,228.357,254.651,244.459,258.018,292.446,279.089,264.443,256.847,284.193,275.531,273.455,285.111,217.626,211.39,219.481,217.253,190.383
191.876,230.032,248.864,240.627,260.21,296.783,276.089,273.009,256.468,278.284,276.305,269.109,287.015,214.366,211.82,215.802,214.888,190.021
189.457,227.882,252.385,246.787,257.158,294.885,270.943,268.44,254.887,281.922,272.287,276.339,282.551,219.797,213.468,214.145,215.249,192.047
187.872,228.326,252.384,241.289,254.951,290.912,276.199,263.06,260.903,277.612,275.478,274.364,282.002,215.896,211.854,214.378,212.551,191.283
190.727,229.235,249.332,243.355,259.365,292.699,276.222,257.956,253.004,280.483,270.581,270.519,283.015,216.832,210.269,211.203,213.663,194.264
190.314,226.262,250.035,245.511,255.939,293.585,278.524,264.532,257.044,287.172,276.006,273.366,280.794,217.491,213.602,208.548,208.795,191.347
189.813,228.955,248.944,241.291,262.092,292.127,276.22,266.18,258.024,282.288,267.604,270.852,282.375,216.856,211.428,210.539,213.291,193.048
190.958,226.532,249.588,242.861,262.514,294.521,277.431,265.861,257.165,279.398,268.736,271.772,278.814,218.209,211.674,206.626,213.909,191.39
193.005,226.563,253.98,244.147,260.392,289.258,277.567,261.595,261.323,287.172,271.535,271.216,281.265,214.261,215.486,208.239,212.797,195.073
190.348,227.092,255.011,245.676,262.207,291.391,273.575,267.383,266.774,280.803,269.03,273.506,277.485,212.162,211.378,205.945,212.262,191.747
191.28,229.873,247.281,239.381,262.631,290.689,276.083,271.392,261.484,281.146,268.396,270.263,275.074,215.108,212.548,207.895,212.363,194.083
190.483,228.629,251.034,247.662,260.8,297.133,282.937,255.905,255.734,283.797,269.856,265.827,274.459,214.883,209.961,206.864,215.503,190.335
190.571,229.295,248.876,243.265,254.935,292.489,277.992,260.706,257.988,278.519,269.906,273.165,271.135,210.042,214.059,203.624,212.464,192.93
188.204,228.721,249.858,245.319,260.232,288.356,273.067,264.911,256.827,284.886,273.37,274.019,272.633,213.51,210.085,207.742,211.15,192.205
193.154,228.867,248.406,241.977,257.853,296.961,277.281,262.364,259.375,286.131,275.449,271.465,274.262,213.767,211.17,206.21,208.359,195.638
