T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
204.563,349.573,387.979,407.515,392.285,313.637,379.007,384.155,568.328,497.366,395.503,231.824,201.524,186.797,176.657,172.051,189.028,201.323
194.613,307.902,353.511,374.957,379.509,312.886,421.388,446.131,626.723,539.896,454.895,248.813,201.759,187.553,177.036,169.992,187.205,201.293
196.603,304.045,354.59,368.691,382.769,324.561,412.438,434.693,614.317,547.341,455.561,249.097,207.623,184.338,178.092,170.738,192.571,200.079
196.236,299.316,357.412,365.141,374.728,316.449,427.91,438.254,621.045,551.215,455.383,250.443,203.492,184.189,176.723,173.648,188.511,200.809
194.593,302.859,355.721,362.839,378.704,315.186,420.393,440.017,625.021,542.188,441.508,245.213,207.968,182.297,178.798,175.465,201.565,204.401
196.181,302.028,361.807,359.43,376.885,315.446,434.488,458.402,630.885,566.479,472.207,256.613,204.454,182.863,178.254,179.197,211.529,218.77
193.935,291.139,351.144,358.671,378.843,326.558,441.012,456.145,620.424,537.619,463.843,260.692,204.983,185.128,179.365,180.092,216.447,231.238
190.073,278.745,325.086,349.859,377.545,323.647,470.54,465.76,621.707,550.417,485.953,262.862,210.893,186.336,180.216,179.986,213.611,231.343
191.354,271.136,326.511,350.638,386.921,328.251,459.531,467.516,610.4,558.867,494.307,267.634,215.795,188.577,178.71,180.914,208.91,221.998
196.508,268.545,333.951,354.329,391.404,340.078,446.929,419.683,531.816,544.727,482.125,276.239,220.431,185.56,182.765,181.065,208.975,221.647
192.405,264.778,336.298,346.005,380.352,327.324,434.619,410.448,544.261,445.064,385.953,256.712,212.105,194.343,189.484,199.04,265.422,295.543
191.058,258.038,333.541,341.636,383.858,330.285,460.079,433.99,560.552,462.466,420.869,271.105,215.605,194.744,197.026,205.098,268.411,322.778
192.163,253.275,320.352,349.869,390.259,333.697,461.407,421.613,525.653,456.761,411.626,269.207,222.974,193.084,194.166,205.04,271.813,342.807
196.804,245.593,311.779,324.9,377.91,329.853,422.752,398.402,490.552,424.235,379.099,256.239,214.893,192.773,190.063,197.239,262.167,355.032
190.482,239.907,291.785,309.153,360.912,326.931,435.855,394.988,512.005,412.856,363.168,247.893,210.889,192.517,183.668,188.341,238.645,317.886
